bucket,n,mean_delta,ci_low,ci_high,std_delta,median_delta,win_rate,wins,losses,characteristic,metric,granularity,model
easy,877,0.1619156214367161,0.1379703534777651,0.18702964652223472,0.3683733879794768,0.0,0.1619156214367161,142,0,difficulty,exact_match,instance,Llama-3.1-8B-Instruct
hard,633,0.07424960505529225,0.05529225908372828,0.0947867298578199,0.2621766602968795,0.0,0.07424960505529225,47,0,difficulty,exact_match,instance,Llama-3.1-8B-Instruct
medium,378,0.09523809523809523,0.06613756613756613,0.12433862433862433,0.29354352395090366,0.0,0.09523809523809523,36,0,difficulty,exact_match,instance,Llama-3.1-8B-Instruct
easy,877,0.3903750019889058,0.3658312284748823,0.41499350261344753,0.36250255418302424,0.37901570165018983,0.9007981755986317,790,87,difficulty,similarity,instance,Llama-3.1-8B-Instruct
hard,633,0.3477060525729463,0.3252062572477189,0.3686632260191473,0.278180588803986,0.34449657507181275,0.9131121642969984,578,55,difficulty,similarity,instance,Llama-3.1-8B-Instruct
medium,378,0.43599697413371763,0.40117229720744396,0.4704659351941701,0.34441560751326006,0.483316236239854,0.8994708994708994,340,38,difficulty,similarity,instance,Llama-3.1-8B-Instruct
easy,877,0.4540551560171078,0.42466659401318907,0.4829328145305216,0.42770283231707745,0.43677101924506867,0.8768529076396807,769,108,difficulty,bleu3,instance,Llama-3.1-8B-Instruct
hard,633,0.3943976172424301,0.3673012325617883,0.4201349150222146,0.3374886956526855,0.38863979608030824,0.8894154818325435,563,70,difficulty,bleu3,instance,Llama-3.1-8B-Instruct
medium,378,0.5120663023650599,0.46975190347598705,0.5537202897695531,0.41671975676887657,0.5956393658335498,0.8703703703703703,329,49,difficulty,bleu3,instance,Llama-3.1-8B-Instruct
easy,877,0.3222443444060133,0.30012591356182405,0.3450263546933344,0.3333444642254765,0.25004729449698293,0.8893956670467503,780,97,difficulty,rouge_l,instance,Llama-3.1-8B-Instruct
hard,633,0.2808646516586901,0.2603649987475434,0.30040874513677246,0.25562737765527604,0.2571861547151225,0.9052132701421801,573,60,difficulty,rouge_l,instance,Llama-3.1-8B-Instruct
medium,378,0.35356845451611574,0.3202235238152414,0.3859437286019325,0.3251097992537392,0.3486922934707114,0.8994708994708994,340,38,difficulty,rouge_l,instance,Llama-3.1-8B-Instruct
huge,97,0.10309278350515463,0.05154639175257732,0.16494845360824742,0.30408002481964175,0.0,0.10309278350515463,10,0,project_size,exact_match,instance,Llama-3.1-8B-Instruct
large,600,0.10166666666666667,0.07833333333333334,0.12666666666666668,0.3022094564297344,0.0,0.10166666666666667,61,0,project_size,exact_match,instance,Llama-3.1-8B-Instruct
medium,1088,0.12408088235294118,0.10477941176470588,0.1434053308823528,0.32967380391450085,0.0,0.12408088235294118,135,0,project_size,exact_match,instance,Llama-3.1-8B-Instruct
small,103,0.18446601941747573,0.11650485436893204,0.2621359223300971,0.3878637738920035,0.0,0.18446601941747573,19,0,project_size,exact_match,instance,Llama-3.1-8B-Instruct
huge,97,0.44787543427558363,0.37054414621592746,0.5247704639978413,0.36659069771762914,0.45953570417557565,0.9072164948453608,88,9,project_size,similarity,instance,Llama-3.1-8B-Instruct
large,600,0.4082450892489347,0.3814984767586853,0.4344112208163275,0.3246847382933278,0.4222628619348235,0.9316666666666666,559,41,project_size,similarity,instance,Llama-3.1-8B-Instruct
medium,1088,0.38461056287675016,0.36568410513656296,0.4038851289479514,0.3352251696277409,0.3849996470227508,0.9007352941176471,980,108,project_size,similarity,instance,Llama-3.1-8B-Instruct
small,103,0.19821748700479655,0.14342220758878457,0.251319597325927,0.2804838277890878,0.12422372450031971,0.7864077669902912,81,22,project_size,similarity,instance,Llama-3.1-8B-Instruct
huge,97,0.5101261905302991,0.4216968936676408,0.5986081503038405,0.42540868328231235,0.5551627137544336,0.8865979381443299,86,11,project_size,bleu3,instance,Llama-3.1-8B-Instruct
large,600,0.4841625708280972,0.4524785620470778,0.5141505906219641,0.38276680543143154,0.5001784165935411,0.9066666666666666,544,56,project_size,bleu3,instance,Llama-3.1-8B-Instruct
medium,1088,0.4402356167953336,0.41679163230933136,0.46340189940573656,0.4036402099283348,0.4244043495999782,0.8768382352941176,954,134,project_size,bleu3,instance,Llama-3.1-8B-Instruct
small,103,0.2181067163479045,0.15193511114339486,0.28411171436813454,0.34387279544379046,0.10623699700436584,0.7475728155339806,77,26,project_size,bleu3,instance,Llama-3.1-8B-Instruct
huge,97,0.3862522133635132,0.3118727444179895,0.45936574610816405,0.34953230040764305,0.34690060847603954,0.9175257731958762,89,8,project_size,rouge_l,instance,Llama-3.1-8B-Instruct
large,600,0.33765000697579034,0.3133276155525768,0.36133140144274695,0.3000980576632244,0.3031696631463124,0.92,552,48,project_size,rouge_l,instance,Llama-3.1-8B-Instruct
medium,1088,0.31191008069629933,0.29384698399298975,0.32940073053108065,0.31066010176618414,0.27154567187436685,0.8933823529411765,972,116,project_size,rouge_l,instance,Llama-3.1-8B-Instruct
small,103,0.14203741428939384,0.09881218943470041,0.18770763468486448,0.22754611410041212,0.058827922286457945,0.7766990291262136,80,23,project_size,rouge_l,instance,Llama-3.1-8B-Instruct
