stratum_type,stratum,method,method_display,model,metric,value,n,ci_low,ci_high
difficulty,easy,base_a,Base A,Baseline,exact_match,0.15182648401826485,876,0.1278538812785388,0.17579908675799086
difficulty,easy,base_b,Base B,Baseline,exact_match,0.1267123287671233,876,0.1050228310502283,0.1495433789954338
difficulty,easy,agent,Single,gpt-5-nano,exact_match,0.09725400457665904,874,0.07894736842105263,0.11670480549199085
difficulty,easy,agent,Single,llama-3.1-8b-instruct,exact_match,0.042382588774341354,873,0.029782359679266894,0.056128293241695305
difficulty,hard,base_a,Base A,Baseline,exact_match,0.1686819830713422,1654,0.15114873035066506,0.18621523579201935
difficulty,hard,base_b,Base B,Baseline,exact_match,0.20193470374848851,1654,0.18319226118500603,0.22128174123337363
difficulty,hard,agent,Single,gpt-5-nano,exact_match,0.06147540983606557,488,0.0389344262295082,0.08196721311475409
difficulty,hard,agent,Single,llama-3.1-8b-instruct,exact_match,0.016928657799274487,1654,0.010882708585247884,0.02357920193470375
difficulty,easy,base_a,Base A,Baseline,similarity,0.9224795666681069,876,0.9109791981183095,0.9328235819669671
difficulty,easy,base_b,Base B,Baseline,similarity,0.8992476827887675,876,0.8872739591112846,0.9112707919979222
difficulty,easy,agent,Single,gpt-5-nano,similarity,0.9010949865336768,874,0.8901586560147263,0.9115320936385491
difficulty,easy,agent,Single,llama-3.1-8b-instruct,similarity,0.764894133198987,873,0.7464304310417936,0.7825730605606211
difficulty,hard,base_a,Base A,Baseline,similarity,0.8951868655943533,1654,0.8865419702849298,0.9038056931447372
difficulty,hard,base_b,Base B,Baseline,similarity,0.8847233157517116,1654,0.8751976957654938,0.8947371192949033
difficulty,hard,agent,Single,gpt-5-nano,similarity,0.8662810798043079,488,0.8502875434317466,0.8814930120656402
difficulty,hard,agent,Single,llama-3.1-8b-instruct,similarity,0.7812805012880799,1654,0.7684741719496901,0.7932753520357763
project_size,medium,base_a,Base A,Baseline,exact_match,0.17376373626373626,1456,0.15521978021978022,0.1929945054945055
project_size,medium,base_b,Base B,Baseline,exact_match,0.15728021978021978,1456,0.13942307692307693,0.17651098901098902
project_size,medium,agent,Single,gpt-5-nano,exact_match,0.0778816199376947,642,0.05763239875389408,0.09968847352024922
project_size,medium,agent,Single,llama-3.1-8b-instruct,exact_match,0.020618556701030927,1455,0.013745704467353952,0.028178694158075602
project_size,small,base_a,Base A,Baseline,exact_match,0.1958041958041958,143,0.13286713286713286,0.25874125874125875
project_size,small,base_b,Base B,Baseline,exact_match,0.2727272727272727,143,0.20279720279720279,0.34965034965034963
project_size,small,agent,Single,gpt-5-nano,exact_match,0.17307692307692307,52,0.07692307692307693,0.26971153846153584
project_size,small,agent,Single,llama-3.1-8b-instruct,exact_match,0.04195804195804196,143,0.013986013986013986,0.07692307692307693
project_size,large,base_a,Base A,Baseline,exact_match,0.14950980392156862,816,0.125,0.17401960784313725
project_size,large,base_b,Base B,Baseline,exact_match,0.17892156862745098,816,0.15318627450980393,0.20710784313725492
project_size,large,agent,Single,gpt-5-nano,exact_match,0.08415841584158416,606,0.0627062706270627,0.10726072607260725
project_size,large,agent,Single,llama-3.1-8b-instruct,exact_match,0.03308823529411765,816,0.020833333333333332,0.04534313725490196
project_size,huge,base_a,Base A,Baseline,exact_match,0.0782608695652174,115,0.034782608695652174,0.13043478260869565
project_size,huge,base_b,Base B,Baseline,exact_match,0.26956521739130435,115,0.19130434782608696,0.34782608695652173
project_size,huge,agent,Single,gpt-5-nano,exact_match,0.08064516129032258,62,0.016129032258064516,0.16129032258064516
project_size,huge,agent,Single,llama-3.1-8b-instruct,exact_match,0.017699115044247787,113,0.0,0.04424778761061947
project_size,medium,base_a,Base A,Baseline,similarity,0.9062618470325962,1456,0.896865644360161,0.9151985829510726
project_size,medium,base_b,Base B,Baseline,similarity,0.8820324077306407,1456,0.8722100626059102,0.8921409726411528
project_size,medium,agent,Single,gpt-5-nano,similarity,0.9036711455649175,642,0.8908203127961797,0.9150473632058673
project_size,medium,agent,Single,llama-3.1-8b-instruct,similarity,0.768158321657508,1455,0.7548365117351329,0.7822498089895017
project_size,small,base_a,Base A,Baseline,similarity,0.8722086280422809,143,0.8383535873341474,0.905398688178443
project_size,small,base_b,Base B,Baseline,similarity,0.8652928198964774,143,0.8301594901276151,0.8973813531224858
project_size,small,agent,Single,gpt-5-nano,similarity,0.9095814894649225,52,0.8722531758511778,0.9426310972220157
project_size,small,agent,Single,llama-3.1-8b-instruct,similarity,0.8472774431822507,143,0.81230087443854,0.880140060445513
project_size,large,base_a,Base A,Baseline,similarity,0.9085723679118194,816,0.8962195905019279,0.9199151233081173
project_size,large,base_b,Base B,Baseline,similarity,0.8986678546594696,816,0.886397975522324,0.9105125505401945
project_size,large,agent,Single,gpt-5-nano,similarity,0.8770165944706121,606,0.8623770372405178,0.890305382634806
project_size,large,agent,Single,llama-3.1-8b-instruct,similarity,0.7784674035765713,816,0.7601187533071563,0.7951952153572219
project_size,huge,base_a,Base A,Baseline,similarity,0.8964612242501846,115,0.8631799860230285,0.9268055595844431
project_size,huge,base_b,Base B,Baseline,similarity,0.9546461397665627,115,0.9339259292924882,0.971243578457141
project_size,huge,agent,Single,gpt-5-nano,similarity,0.8286292906595479,62,0.7720657959741896,0.8818176489260846
project_size,huge,agent,Single,llama-3.1-8b-instruct,similarity,0.7604433071502819,113,0.7070740221297275,0.8104959432275546
