complexity_metric,performance_metric,n_samples,spearman_r,spearman_p,pearson_r,pearson_p
sloc,delta_bleu3,1100,0.7897604071145182,2.744537848688851e-235,0.5514155260449195,1.627023891840882e-88
sloc,delta_similarity,1100,0.7776186610694495,1.6176944264186948e-223,0.5743756377987546,1.4776530626178448e-97
lloc,delta_bleu3,1100,0.7716243392313926,5.605896193187653e-218,0.4743086389263552,8.71761717253026e-63
lloc,delta_similarity,1100,0.7591588447039211,5.5404972874189456e-207,0.4937266119716727,1.1724674237792483e-68
cc_total,delta_bleu3,1100,0.7047760963381139,6.786518008597417e-166,0.42324518837440733,4.8742647593500225e-49
h_bugs,delta_bleu3,1100,0.700339260524764,5.88360090509213e-163,0.3785163060130934,8.534723470548874e-39
cc_total,delta_similarity,1100,0.6923727460132825,8.141583548446525e-158,0.4412014993391277,1.3130168790232832e-53
h_bugs,delta_similarity,1100,0.6896885306051095,4.0300884151578195e-156,0.3983988375553661,3.724437777459251e-43
mi_score,delta_bleu3,1100,-0.6744925074545562,7.243625255589259e-147,-0.6232455460708584,2.2042309899607316e-119
mi_score,delta_similarity,1100,-0.6676550436841626,7.002054963937893e-143,-0.6193857552753639,1.6164245114436285e-117
h_difficulty,delta_bleu3,1100,0.6470649293414217,1.693108500369251e-131,0.652381786059121,2.368109005583019e-134
h_difficulty,delta_similarity,1100,0.6360084838742399,9.657573075538931e-126,0.6329718901301298,3.348179734458065e-124
cc_max,delta_bleu3,1100,0.5895416230149462,6.213152181001052e-104,0.4770828977085211,1.3320557188447024e-63
cc_max,delta_similarity,1100,0.5842158002026064,1.1770716688651254e-101,0.48255243992151053,3.1178269371323285e-65
cc_avg,delta_similarity,1100,0.3620845558218181,2.05653627871981e-35,0.26111884096547944,1.3242407202035199e-18
cc_avg,delta_bleu3,1100,0.36056078540340625,4.1391379270179357e-35,0.2608621245534737,1.4343934262067563e-18
mi_score,delta_exact_match,1100,0.2088321012537927,2.641778944583891e-12,0.19781671668306622,3.619048720640555e-11
sloc,delta_exact_match,1100,-0.19647267402088123,4.9305164303915614e-11,-0.14362957177620062,1.7264841324063735e-06
lloc,delta_exact_match,1100,-0.1947476954923922,7.309067609911174e-11,-0.1303183991697536,1.452573260997828e-05
cc_total,delta_exact_match,1100,-0.183364770142504,8.976349844838444e-10,-0.11693724245756984,0.00010136398839454686
h_bugs,delta_exact_match,1100,-0.1530193503516448,3.4079193057672894e-07,-0.09863511606774435,0.0010542743949735688
cc_max,delta_exact_match,1100,-0.12313233153014534,4.225594063113249e-05,-0.14878181315720945,7.176146068372313e-07
h_difficulty,delta_exact_match,1100,-0.12011612152966254,6.503941746426328e-05,-0.13432356575371115,7.81406275655338e-06
cc_avg,delta_exact_match,1100,-0.05451548788986906,0.07070576263661824,-0.08377987205417603,0.005429296112546139
