label,display_name,n_with_label,n_without_label,agent_exact_match_with,bypass_exact_match_with,delta_exact_match_with,delta_exact_match_ci_low,delta_exact_match_ci_high,bypass_win_rate_exact_match_with,delta_exact_match_without,bypass_win_rate_exact_match_without,agent_similarity_with,bypass_similarity_with,delta_similarity_with,delta_similarity_ci_low,delta_similarity_ci_high,bypass_win_rate_similarity_with,delta_similarity_without,bypass_win_rate_similarity_without,agent_bleu3_with,bypass_bleu3_with,delta_bleu3_with,delta_bleu3_ci_low,delta_bleu3_ci_high,bypass_win_rate_bleu3_with,delta_bleu3_without,bypass_win_rate_bleu3_without,agent_rouge_l_with,bypass_rouge_l_with,delta_rouge_l_with,delta_rouge_l_ci_low,delta_rouge_l_ci_high,bypass_win_rate_rouge_l_with,delta_rouge_l_without,bypass_win_rate_rouge_l_without
favored simplicity,Favored Simplicity,444,428,0.0,0.18468468468468469,0.18468468468468469,0.15090090090090091,0.22072072072072071,18.46846846846847,0.3364485981308411,33.64485981308411,0.5123458849741229,0.9025580804305378,0.39021219545641483,0.3560805700105765,0.424355689112699,88.28828828828829,0.37101034823112955,91.1214953271028,0.4582308230672098,0.909011004418046,0.4507801813508364,0.4100780649918464,0.4911655658362417,84.90990990990991,0.4296559750505163,89.7196261682243,0.6115352876813255,0.9321929568206754,0.32065766913935,0.289386173988747,0.3520119496290164,88.96396396396396,0.2984839508604072,90.18691588785046
favored complexity,Favored Complexity,420,452,0.0,0.29523809523809524,0.29523809523809524,0.2523809523809524,0.3404761904761905,29.523809523809526,0.22566371681415928,22.56637168141593,0.5380733895274371,0.9217230977268005,0.3836497081993635,0.35064145743630265,0.41559233702579224,90.71428571428571,0.3781278017297322,88.71681415929204,0.484805421679927,0.9269103134075822,0.4421048917276553,0.4016620761222527,0.48124328452065984,88.57142857142857,0.43883872414994934,86.06194690265487,0.6389040728181707,0.9464897014820497,0.30758562866387895,0.27756368928468633,0.33645370756785536,91.19047619047619,0.3118079027152578,88.05309734513274
misprioritization,Misprioritization,18,854,0.0,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.4444444444444444,22.22222222222222,0.25995316159250587,25.995316159250585,0.4806519480704679,0.8327130976406566,0.3520611495701886,0.15338659541324565,0.5449422656841519,83.33333333333333,0.3813929076502438,89.81264637002342,0.41375914796109553,0.8239506489985252,0.41019150103742963,0.1722294186111768,0.6381752574360848,83.33333333333333,0.44104884171278524,87.35362997658079,0.5753348398537093,0.8708776792186709,0.2955428393649615,0.10227295223704781,0.47474823134106375,83.33333333333333,0.31007419784257184,89.69555035128806
feature-oriented,Feature-Oriented,52,820,0.0,0.23076923076923078,0.23076923076923078,0.11538461538461539,0.34615384615384615,23.076923076923077,0.26097560975609757,26.097560975609756,0.49143522283499114,0.9138056893287736,0.4223704664937825,0.31647810939815674,0.5300078134757542,88.46153846153847,0.3781504628876768,89.7560975609756,0.43966743119484736,0.9181115491087376,0.47844411791389024,0.355952521070957,0.6031678755127956,90.38461538461539,0.43800007769496346,87.07317073170732,0.581404990480097,0.9388373928655007,0.3574324023854037,0.2539264755292114,0.46257358080052474,92.3076923076923,0.30675201358790816,89.39024390243902
fix-oriented,Fix-Oriented,79,793,0.0,0.27848101265822783,0.27848101265822783,0.17721518987341772,0.379746835443038,27.848101265822784,0.2572509457755359,25.725094577553595,0.4791514789666971,0.8852409519182812,0.4060894729515843,0.32379610917780877,0.48895431832147734,89.87341772151899,0.37826680386178624,89.6595208070618,0.4112256373824132,0.8940434247959557,0.48281778741354237,0.386812898356088,0.5767719968197355,91.13924050632912,0.43618732993155424,86.88524590163935,0.5955450387965727,0.9065797613533896,0.3110347225568173,0.23176638599101645,0.3899498389718466,88.60759493670886,0.3096486670670077,89.6595208070618
structural-change-bias,Structural Change Bias,292,580,0.0,0.2602739726027397,0.2602739726027397,0.2089041095890411,0.3116438356164384,26.027397260273972,0.25862068965517243,25.862068965517242,0.5143025466700268,0.9135795369897414,0.3992769903197144,0.35767245868614883,0.43868325099227257,90.06849315068493,0.37147890112450865,89.48275862068965,0.4524738972522171,0.9160715731011183,0.46359767584890105,0.41534789144736745,0.5119078148602489,89.04109589041096,0.42873902843709183,86.37931034482759,0.6158212782696894,0.9389755064959806,0.32315422822629136,0.2848546817763306,0.3605767417734882,90.75342465753425,0.3030381059035321,88.96551724137932
unclear,Unclear,94,778,0.0,0.2978723404255319,0.2978723404255319,0.20212765957446807,0.39361702127659576,29.78723404255319,0.2544987146529563,25.44987146529563,0.6420972909639607,0.9177991437426752,0.2757018527787143,0.20077680640109838,0.3495689711890592,85.1063829787234,0.3934841512395533,90.23136246786632,0.6071512410356547,0.9258696649108843,0.3187184238752297,0.23555749105078935,0.4026063408422362,79.7872340425532,0.45511520051043797,88.17480719794345,0.7198687609854295,0.9346426502829416,0.214773889297512,0.14590101576019865,0.2831948283039996,82.97872340425532,0.3212524299128015,90.3598971722365
vague-commit-message,Vague Commit Message,165,707,0.0,0.2727272727272727,0.2727272727272727,0.20606060606060606,0.3393939393939394,27.272727272727273,0.256011315417256,25.6011315417256,0.5276564519736348,0.9015624562961737,0.373906004322539,0.31924884755435723,0.42801898868729576,90.3030303030303,0.38239342731591613,89.53323903818954,0.4771029742613306,0.9107404203887937,0.43363744612746313,0.37087718372584316,0.496626748270958,88.48484848484848,0.44199289848707346,86.98727015558698,0.6134247155787842,0.9239041161320346,0.3104794005532505,0.25913077823562997,0.3631309111314988,90.9090909090909,0.3096096675740302,89.25035360678925
simple-commit-message,Simple Commit Message,198,674,0.0,0.2727272727272727,0.2727272727272727,0.21212121212121213,0.3333333333333333,27.272727272727273,0.2551928783382789,25.519287833827892,0.5341070150708077,0.9153856992565462,0.3812786841857386,0.3344036585573614,0.42959390115071244,89.8989898989899,0.38064312219109114,89.61424332344214,0.4814937267765965,0.9176737125047377,0.43617998572814126,0.37940029201812225,0.49658696251536266,86.36363636363636,0.4416550751739175,87.53709198813057,0.6309833292262735,0.939577535150061,0.30859420592378745,0.2682979632215619,0.3530020350353521,89.39393939393939,0.310120895093792,89.61424332344214
detailed-commit-message,Detailed Commit Message,179,693,0.0,0.30726256983240224,0.30726256983240224,0.24022346368715083,0.3743016759776536,30.726256983240223,0.24675324675324675,24.675324675324674,0.5503303215887634,0.9090234737705727,0.3586931521818093,0.3054719830679332,0.4162229347734465,88.26815642458101,0.38649432840552345,90.04329004329004,0.4967258915764027,0.9073598690467964,0.41063397747039376,0.34705321407714873,0.4772799553447147,87.15083798882682,0.4481034283898872,87.3015873015873,0.6448213282832939,0.9315380506308736,0.28671672234757967,0.23766756592978874,0.3393682694558839,88.8268156424581,0.3157299318411384,89.75468975468975
refactor-oriented,Refactor-Oriented,17,855,0.0,0.23529411764705882,0.23529411764705882,0.058823529411764705,0.4117647058823529,23.529411764705884,0.2596491228070175,25.964912280701753,0.5125046230007462,0.9161525036040148,0.4036478806032687,0.2650896123809148,0.5455295169469301,100.0,0.3803329004155744,89.47368421052632,0.455175547565149,0.9325448681752129,0.4773693206100639,0.30980574477035744,0.6443138294695973,100.0,0.4396770519193231,87.01754385964912,0.6046591909464379,0.9522496514360939,0.34759046048965603,0.2182445060184564,0.4861115615797777,100.0,0.3090223371202357,89.35672514619883
modification-bias,Modification Bias,178,694,0.0,0.2640449438202247,0.2640449438202247,0.20224719101123595,0.33146067415730335,26.40449438202247,0.2579250720461095,25.792507204610953,0.5051378954908278,0.9180880744579653,0.4129501789671375,0.3661547959699847,0.4624080572386787,92.13483146067416,0.37253820168504487,89.04899135446686,0.4465583519183125,0.9234200053187324,0.47686165340042,0.42047108792899535,0.5356338331548633,90.4494382022472,0.43106308866875737,86.45533141210375,0.611442962679433,0.9451176439015264,0.33367468122209354,0.2906107239313338,0.38010082724533417,92.13483146067416,0.3036441539028718,88.90489913544668
test-oriented,Test-Oriented,13,859,0.0,0.07692307692307693,0.07692307692307693,0.0,0.23076923076923078,7.6923076923076925,0.2619324796274738,26.19324796274738,0.4792276178158188,0.8591901904995443,0.3799625726837253,0.1945921042059306,0.5799276967547696,84.61538461538461,0.3807999189530655,89.75552968568103,0.40971424435412024,0.8849185763642959,0.47520433201017587,0.2649858993010293,0.6896033788591063,84.61538461538461,0.43988533355676374,87.31082654249127,0.5597121442406638,0.9030152643785996,0.3433031201379356,0.1788798503835903,0.5196946926124084,84.61538461538461,0.30926681665230793,89.63911525029104
