quantitative_metric,complexity_metric,method,n_samples,spearman_r,spearman_p,pearson_r,pearson_p
gt_sloc,sloc,ground_truth,1100,0.981291685902023,0.0,0.9827186837129945,0.0
gt_loc,sloc,ground_truth,1100,0.9731127836831683,0.0,0.9737848791160948,0.0
gt_sloc,sloc,bypass,1100,0.9606353041066309,0.0,0.97529913331761,0.0
gt_loc,sloc,bypass,1100,0.9552151076792547,0.0,0.9681292048623029,0.0
gt_loc,lloc,ground_truth,1100,0.9487585807751892,0.0,0.9146778224674549,0.0
gt_sloc,lloc,ground_truth,1100,0.9480473902832699,0.0,0.9135680817159164,0.0
gt_loc,lloc,bypass,1100,0.9318548483724173,0.0,0.908280634822778,0.0
gt_sloc,lloc,bypass,1100,0.9284617516523797,0.0,0.9052411079450954,0.0
gt_loc,cc_total,bypass,1100,0.8884432065322695,0.0,0.8810968319019277,0.0
gt_sloc,cc_total,bypass,1100,0.8862472931745418,0.0,0.877232687201741,0.0
gt_sloc,cc_total,ground_truth,1100,0.8852153932950843,0.0,0.8811910564076509,0.0
gt_loc,cc_total,ground_truth,1100,0.883901573673648,0.0,0.8824258447969753,0.0
gt_loc,h_bugs,bypass,1100,0.8638341897876357,0.0,0.8312387104767013,3.029755449708966e-282
gt_sloc,mi_score,bypass,1100,-0.8631189042015263,0.0,-0.6353793207516433,2.0200150310945699e-125
gt_sloc,h_bugs,ground_truth,1100,0.8615869317868364,0.0,0.8363249132526789,6.977851282389545e-289
gt_sloc,h_bugs,bypass,1100,0.8608167917670101,0.0,0.8295770056404606,3.999562492891798e-280
gt_loc,h_bugs,ground_truth,1100,0.8603187337562417,1e-323,0.8361331903449252,1.2532807175211247e-288
gt_loc,mi_score,bypass,1100,-0.8602706425780312,2e-323,-0.6349340904588603,3.401718152716519e-125
gt_sloc,mi_score,ground_truth,1100,-0.8591955958262336,7.9e-322,-0.6276648065434994,1.4968960697218638e-121
gt_loc,mi_score,ground_truth,1100,-0.856204893546928,3.3570634e-317,-0.626120912812478,8.641566721124098e-121
gt_sloc,h_difficulty,ground_truth,1100,0.7998403435747435,1.141550682456647e-245,0.5775412119379723,7.348370000237304e-99
gt_loc,h_difficulty,ground_truth,1100,0.7984611857998395,3.2559282998202974e-244,0.5741167971207372,1.885899635849222e-97
gt_loc,h_difficulty,bypass,1100,0.7978358619885546,1.4748023514649377e-243,0.5733360476044774,3.931114047791487e-97
gt_sloc,h_difficulty,bypass,1100,0.795576521649905,3.311122008969639e-241,0.5737780453205212,2.5943612881135626e-97
gt_sloc,sloc,agent,1100,0.7511466388195714,2.901075830756504e-200,0.7257105555614767,1.5581996416501276e-180
gt_sloc,cc_max,ground_truth,1100,0.7491117916306269,1.3433436269190195e-198,0.5253829352073622,4.441609313328534e-79
gt_sloc,cc_max,bypass,1100,0.7481154540263314,8.667401197126626e-198,0.5338672352681297,4.596161489307017e-82
gt_loc,cc_max,bypass,1100,0.7455947823331597,9.320730728937995e-196,0.5241261599179828,1.2093915052971697e-78
gt_loc,cc_max,ground_truth,1100,0.7448781001358493,3.4888598771701054e-195,0.5147356438094134,1.8876988457261164e-75
gt_loc,sloc,agent,1100,0.744768715029806,4.265846465358786e-195,0.7161105333879683,1.1762126314928961e-173
gt_loc,lloc,agent,1100,0.7264290507742952,4.635188424583898e-181,0.6854430458273605,1.7703768642734126e-153
gt_sloc,lloc,agent,1100,0.7245206608167878,1.1507053400605603e-179,0.683505612186612,2.748452539793313e-152
gt_sloc,mi_score,agent,1100,-0.664687846838359,3.481766399225443e-141,-0.48830992086474057,5.560291331932073e-67
gt_loc,mi_score,agent,1100,-0.6623526225021187,7.300525636724915e-140,-0.48862449324341145,4.452312681274442e-67
gt_diff_hunks,sloc,bypass,1100,0.6517209500474045,5.398794950192728e-134,0.5200224595069313,3.093106078458517e-77
gt_diff_hunks,sloc,ground_truth,1100,0.6394624551395507,1.6296299465831818e-127,0.5264903089112799,1.831095828825881e-79
gt_diff_hunks,lloc,bypass,1100,0.6261586719355294,8.279841443685022e-121,0.43859858496355164,6.278270704180753e-53
gt_diff_hunks,lloc,ground_truth,1100,0.6176852083628961,1.0522854577449813e-116,0.4486071283580448,1.4196451791638484e-55
gt_diff_hunks,cc_total,bypass,1100,0.6162497935977739,5.0698037477737214e-116,0.47233549711882983,3.28189529852059e-62
gt_diff_hunks,h_bugs,bypass,1100,0.590000121884994,3.937836031518512e-104,0.46338285729920936,1.2064895374945193e-59
gt_diff_hunks,cc_total,ground_truth,1100,0.5871501336746203,6.625528994691334e-103,0.4826920947071454,2.8302678411228923e-65
gt_diff_hunks,mi_score,ground_truth,1100,-0.5762958060679353,2.4025324025311836e-98,-0.4443804015643593,1.9066226988796202e-54
