method,count,min,q1,median,q3,max,mean
base_a,50,0.0,0.0,0.0,0.0,0.0,0.0
base_b,50,0.0,0.0,0.0,0.0,0.0,0.0
agent,50,368.0,3223.0,5200.0,9194.25,112405.0,9542.56
multi,50,3262.0,12301.25,18831.0,34406.5,557564.0,40136.08
bypass,50,2274.0,11662.0,19923.5,38000.5,567034.0,38748.02
bypass2,50,2136.0,16381.25,22368.0,39769.25,672437.0,45788.12
bypass3,50,2197.0,8926.0,12516.0,21769.0,228016.0,21750.2
bypass4,50,2102.0,9755.5,17215.0,32861.5,567544.0,36078.66
bypass5,50,2192.0,9338.0,12296.5,21674.0,229079.0,21769.62
bypass6,50,2232.0,9893.25,15674.5,31515.0,672694.0,37602.76
bypass7,50,1809.0,8396.25,12542.5,20757.5,228317.0,21258.52
bypass8,50,1845.0,10657.75,15434.0,38260.25,672015.0,41600.42
bypass_only,50,2065.0,8330.25,12499.5,20832.75,229214.0,21234.8
bypass_only2,50,2192.0,8450.75,12268.5,21747.25,228822.0,21624.56
