sample_id,file_count,total_labels,unique_label_count,source_file,favored_simplicity,favored_simplicity_count,favored_complexity,favored_complexity_count,lost_information_compression,lost_information_compression_count,misprioritization,misprioritization_count,feature_oriented,feature_oriented_count,fix_oriented,fix_oriented_count,structural_change_bias,structural_change_bias_count,unclear,unclear_count,accurate,accurate_count,vague_commit_message,vague_commit_message_count,simple_commit_message,simple_commit_message_count,detailed_commit_message,detailed_commit_message_count,refactor_oriented,refactor_oriented_count,modification_bias,modification_bias_count,test_oriented,test_oriented_count
110210585948,1,4,4,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
115057678072,1,2,2,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
121217912607,1,2,2,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124226477194,1,2,2,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131898172532,2,6,4,2026-01-23-llama-pass-classifications,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0
133728812294,1,4,4,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
134797539444,5,10,4,2026-01-23-llama-pass-classifications,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,1,0,0
139754256322,6,12,4,2026-01-23-llama-pass-classifications,1,2,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
140035184561,1,1,1,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146020521474,1,1,1,2026-01-23-llama-pass-classifications,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150759969909,2,2,2,2026-01-23-llama-pass-classifications,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151547044082,1,3,3,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
153054958748,1,2,2,2026-01-23-llama-pass-classifications,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
156461963067,1,2,2,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156850059734,4,12,3,2026-01-23-llama-pass-classifications,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,4,0,0
16130294178,1,2,2,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
164791755641,1,2,2,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167753101075,2,5,4,2026-01-23-llama-pass-classifications,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
172881523060,1,3,3,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
18238461500,2,2,2,2026-01-23-llama-pass-classifications,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185122201628,8,19,5,2026-01-23-llama-pass-classifications,1,1,1,6,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0
187284243675,1,2,2,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
187891328019,1,2,2,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
192421305001,1,2,2,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
192668479653,3,4,3,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
194262099708,5,13,4,2026-01-23-llama-pass-classifications,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,3,0,0
197006748592,2,5,4,2026-01-23-llama-pass-classifications,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0
198338418271,3,8,3,2026-01-23-llama-pass-classifications,1,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
210922017947,1,2,2,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211841636747,2,3,2,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
215446707250,1,3,3,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
217512180114,1,1,1,2026-01-23-llama-pass-classifications,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
220102821649,2,5,3,2026-01-23-llama-pass-classifications,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0
225336541252,3,5,3,2026-01-23-llama-pass-classifications,1,1,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225963265278,9,21,5,2026-01-23-llama-pass-classifications,1,7,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,9,0,0,1,2,0,0
22924018001,1,3,3,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
233897411715,1,3,3,2026-01-23-llama-pass-classifications,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
238292551428,3,5,3,2026-01-23-llama-pass-classifications,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
238600390342,6,18,3,2026-01-23-llama-pass-classifications,0,0,1,6,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0
247671127480,9,20,5,2026-01-23-llama-pass-classifications,1,3,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,9,0,0,0,0,1,4,0,0
249060269671,4,10,3,2026-01-23-llama-pass-classifications,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,2,0,0
256863197619,2,6,4,2026-01-23-llama-pass-classifications,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0
261401508580,1,2,2,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
267252009234,1,3,3,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
27198332737,1,4,4,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
272340717131,2,3,2,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
273617180463,2,3,2,2026-01-23-llama-pass-classifications,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
285547976270,2,8,4,2026-01-23-llama-pass-classifications,0,0,1,2,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
293257957212,3,8,5,2026-01-23-llama-pass-classifications,1,1,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3,0,0,1,1,0,0
298747295667,1,1,1,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307416445107,2,4,2,2026-01-23-llama-pass-classifications,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
308257511116,1,3,3,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
309870345904,3,6,3,2026-01-23-llama-pass-classifications,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0
313864474780,5,9,4,2026-01-23-llama-pass-classifications,1,1,1,4,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
314048431397,1,1,1,2026-01-23-llama-pass-classifications,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314641429474,1,3,3,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
317394731630,3,7,4,2026-01-23-llama-pass-classifications,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0
321367039584,5,14,5,2026-01-23-llama-pass-classifications,1,2,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,5,0,0,1,3,0,0
339104788355,1,2,2,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
343522719498,1,2,2,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
345971295844,2,4,3,2026-01-23-llama-pass-classifications,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
349315126282,2,4,2,2026-01-23-llama-pass-classifications,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
378868780282,2,3,2,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
393294903439,2,3,3,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393438257861,3,8,4,2026-01-23-llama-pass-classifications,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,2,0,0
397314445398,3,6,3,2026-01-23-llama-pass-classifications,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
400273830246,1,1,1,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402397190052,1,2,2,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
408097521578,1,2,2,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
414708677549,1,3,3,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
437910407439,1,2,2,2026-01-23-llama-pass-classifications,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440358227523,5,8,4,2026-01-23-llama-pass-classifications,1,1,0,0,0,0,0,0,0,0,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
446901941937,1,2,2,2026-01-23-llama-pass-classifications,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
447829790275,1,1,1,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456666028139,1,2,2,2026-01-23-llama-pass-classifications,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458326496157,1,3,3,2026-01-23-llama-pass-classifications,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
469334552230,2,4,2,2026-01-23-llama-pass-classifications,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
472873765214,2,4,3,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
482981666910,3,8,3,2026-01-23-llama-pass-classifications,0,0,1,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
484604872581,1,1,1,2026-01-23-llama-pass-classifications,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4886326609,3,8,4,2026-01-23-llama-pass-classifications,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,2,0,0
492139350012,2,6,4,2026-01-23-llama-pass-classifications,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0
506396780306,2,7,4,2026-01-23-llama-pass-classifications,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0
508630874783,6,13,4,2026-01-23-llama-pass-classifications,1,2,1,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0
511196211160,4,13,6,2026-01-23-llama-pass-classifications,1,1,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,3,0,0,1,4,0,0,0,0
51348011552,1,3,3,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
517899874303,8,18,5,2026-01-23-llama-pass-classifications,1,4,1,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,8,0,0,0,0,0,0,1,1,0,0
519680728963,2,4,3,2026-01-23-llama-pass-classifications,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
521808026958,1,1,1,2026-01-23-llama-pass-classifications,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526012981031,4,11,5,2026-01-23-llama-pass-classifications,1,1,1,3,0,0,0,0,0,0,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
530598542251,1,2,2,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
531931975772,1,1,1,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536304816897,5,10,2,2026-01-23-llama-pass-classifications,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0
542594518977,1,2,2,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
547355197520,1,1,1,2026-01-23-llama-pass-classifications,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553889074834,1,2,2,2026-01-23-llama-pass-classifications,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
555290919346,1,3,3,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
555381121741,2,6,4,2026-01-23-llama-pass-classifications,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0
557765626847,2,5,3,2026-01-23-llama-pass-classifications,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0
557911204763,1,1,1,2026-01-23-llama-pass-classifications,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
565480322436,4,10,5,2026-01-23-llama-pass-classifications,1,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,0,0,0,0,1,2,0,0
581971532076,4,10,3,2026-01-23-llama-pass-classifications,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,2,0,0
588151195551,1,2,2,2026-01-23-llama-pass-classifications,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
594875293547,1,1,1,2026-01-23-llama-pass-classifications,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
